geomconf_index,size,correctness
30,44,0
85,33,1
186,28,1
196,72,1
199,65,1
241,51,1
257,30,1
271,45,0
317,41,1
327,65,0
360,74,1
417,53,0
435,42,1
534,38,1
578,57,0
619,27,1
633,54,1
661,50,0
694,39,1
732,67,1
737,35,1
738,68,1
763,71,1
773,39,1
788,58,1
823,25,1
848,31,1
921,78,0
929,77,1
1027,45,1
1035,61,0
1063,28,1
1112,33,1
1202,29,1
1270,56,0
1285,61,1
1307,53,0
1334,21,1
1357,29,1
1380,70,0
1399,29,1
1423,67,0
1449,37,1
1472,50,1
1494,62,1
1496,44,1
1590,32,1
1603,79,1
1647,67,1
1755,78,1
1798,34,1
1800,51,0
1837,59,1
1861,24,1
1914,76,0
1940,68,1
1944,35,1
1966,63,1
2129,38,1
2154,23,1
2159,51,1
2181,50,1
2324,52,1
2358,43,1
2364,70,1
2368,37,1
2371,51,0
2434,44,0
2473,71,0
2492,69,1
2581,67,1
2594,39,1
2624,76,1
2631,45,1
2683,57,1
2730,29,1
2752,61,1
2940,61,0
2946,29,1
2977,57,1
3008,39,1
3081,45,1
3136,48,1
3213,71,1
3222,73,1
3247,36,1
3304,72,1
3321,78,1
3401,48,1
3426,21,1
3447,24,1
3458,43,1
3472,60,0
3551,27,1
3584,39,1
3610,74,1
3649,60,1
3687,31,1
3765,68,1
3792,34,0
3857,78,0
3873,73,0
3885,63,1
3898,39,1
3915,40,1
3922,28,1
3929,22,1
3960,61,1
3963,40,1
4049,64,0
4056,23,1
4094,75,0
4132,20,1
4188,24,1
4209,66,0
4230,24,1
4239,61,0
4243,47,1
4308,24,1
4311,25,0
4326,24,0
4340,51,0
4348,49,1
4409,77,0
4422,45,1
4519,41,1
4552,48,1
4577,56,1
4597,72,1
4680,23,1
4684,58,0
4696,41,1
4699,42,1
4747,54,1
4760,22,1
4761,40,1
4766,59,0
4823,67,0
4846,55,0
4863,31,1
4921,65,1
5023,55,1
5056,45,1
5060,38,1
5065,51,0
5066,32,1
5075,75,1
5099,41,0
5148,27,1
5163,57,1
5192,71,0
5286,33,1
5290,60,1
5299,76,0
5391,48,1
5429,74,0
5431,54,1
5446,55,1
5493,24,1
5499,39,1
5511,66,0
5513,56,1
5514,76,0
5526,53,1
5597,65,1
5693,63,1
5727,49,1
5731,28,1
5733,24,1
5783,75,0
5795,70,1
5819,48,1
5826,70,0
5834,69,0
5837,28,1
5859,61,1
5871,32,1
5880,53,0
5904,35,1
5935,77,1
5976,65,0
6034,43,1
6138,39,1
6147,29,1
6166,76,1
6180,65,0
6182,55,0
6203,70,0
6241,23,1
6250,71,1
6302,20,1
6381,23,1
6463,42,1
6519,41,1
6645,53,1
6667,57,1
6740,48,0
6753,59,1
6766,61,1
6780,67,1
6853,34,0
6865,73,0
6874,27,1
6922,40,1
6947,65,1
6953,68,0
6957,71,1
7052,40,0
7127,35,1
7168,67,1
7174,45,1
7244,31,1
7254,65,1
7305,54,1
7306,32,1
7382,23,1
7446,51,1
7448,43,1
7509,72,0
7511,56,1
7529,63,1
7533,39,1
7543,77,0
7582,42,1
7611,34,1
7649,47,1
7663,51,1
7691,69,1
7704,79,1
7726,55,0
7890,56,0
7989,77,1
8041,64,1
8048,58,0
8110,29,1
8127,60,1
8154,39,1
8216,63,1
8222,49,1
8238,63,1
8271,64,1
8298,55,0
8317,73,1
8378,43,1
8385,29,1
8386,34,1
8398,48,0
8419,34,1
8420,53,0
8441,26,1
8528,48,1
8544,28,1
8573,33,1
8597,39,1
8617,32,1
8618,21,1
8623,45,0
8640,76,0
8688,61,0
8706,24,1
8735,47,1
8748,70,0
8830,25,1
8876,77,0
8889,33,1
8894,34,1
8936,55,1
8963,47,1
8968,46,1
8978,70,0
9022,55,0
9023,27,1
9025,60,0
9039,54,0
9070,33,1
9072,35,1
9078,28,1
9146,46,0
9155,34,1
9158,23,1
9179,24,1
9243,36,1
9321,35,1
9325,51,1
9379,30,1
9431,53,1
9448,27,1
9452,38,1
9482,78,1
9520,40,1
9540,72,1
9570,79,1
9610,69,1
9667,79,1
9758,57,1
9819,24,1
9870,61,1
9944,77,1
9955,42,1
9986,44,1
