geomconf_index,size,correctness
30,44,0
85,33,0
186,28,0
196,72,0
199,65,0
241,51,0
257,30,0
271,45,0
317,41,0
327,65,0
360,74,0
417,53,0
435,42,0
534,38,0
578,57,0
619,27,0
633,54,0
661,50,0
694,39,0
732,67,0
737,35,0
738,68,0
763,71,0
773,39,0
788,58,0
823,25,0
848,31,0
921,78,0
929,77,0
1027,45,0
1035,61,0
1063,28,0
1112,33,0
1202,29,0
1270,56,0
1285,61,0
1307,53,0
1334,21,0
1357,29,0
1380,70,0
1399,29,0
1423,67,0
1449,37,0
1472,50,0
1494,62,0
1496,44,0
1590,32,0
1603,79,0
1647,67,0
1755,78,0
1798,34,0
1800,51,0
1837,59,0
1861,24,0
1914,76,0
1940,68,0
1944,35,0
1966,63,0
2129,38,0
2154,23,0
2159,51,0
2181,50,0
2324,52,0
2358,43,0
2364,70,0
2368,37,0
2371,51,0
2434,44,0
2473,71,0
2492,69,0
2581,67,0
2594,39,0
2624,76,0
2631,45,0
2683,57,0
2730,29,0
2752,61,0
2940,61,0
2946,29,0
2977,57,0
3008,39,0
3081,45,0
3136,48,0
3213,71,0
3222,73,0
3247,36,0
3304,72,0
3321,78,0
3401,48,0
3426,21,0
3447,24,0
3458,43,0
3472,60,0
3551,27,0
3584,39,0
3610,74,0
3649,60,0
3687,31,0
3765,68,0
3792,34,0
3857,78,0
3873,73,0
3885,63,0
3898,39,0
3915,40,0
3922,28,0
3929,22,0
3960,61,0
3963,40,0
4049,64,0
4056,23,0
4094,75,0
4132,20,0
4188,24,0
4209,66,0
4230,24,0
4239,61,0
4243,47,0
4308,24,0
4311,25,0
4326,24,0
4340,51,0
4348,49,0
4409,77,0
4422,45,0
4519,41,0
4552,48,0
4577,56,0
4597,72,0
4680,23,0
4684,58,0
4696,41,0
4699,42,0
4747,54,0
4760,22,0
4761,40,0
4766,59,0
4823,67,0
4846,55,0
4863,31,0
4921,65,0
5023,55,0
5056,45,0
5060,38,0
5065,51,0
5066,32,0
5075,75,0
5099,41,0
5148,27,0
5163,57,0
5192,71,0
5286,33,0
5290,60,0
5299,76,0
5391,48,0
5429,74,0
5431,54,0
5446,55,0
5493,24,0
5499,39,0
5511,66,0
5513,56,0
5514,76,0
5526,53,0
5597,65,0
5693,63,0
5727,49,0
5731,28,0
5733,24,0
5783,75,0
5795,70,0
5819,48,0
5826,70,0
5834,69,0
5837,28,0
5859,61,0
5871,32,0
5880,53,0
5904,35,0
5935,77,0
5976,65,0
6034,43,0
6138,39,0
6147,29,0
6166,76,0
6180,65,0
6182,55,0
6203,70,0
6241,23,0
6250,71,0
6302,20,0
6381,23,0
6463,42,0
6519,41,0
6645,53,0
6667,57,0
6740,48,0
6753,59,0
6766,61,0
6780,67,0
6853,34,0
6865,73,0
6874,27,0
6922,40,0
6947,65,0
6953,68,0
6957,71,0
7052,40,0
7127,35,0
7168,67,0
7174,45,0
7244,31,0
7254,65,0
7305,54,0
7306,32,0
7382,23,0
7446,51,0
7448,43,0
7509,72,0
7511,56,0
7529,63,0
7533,39,0
7543,77,0
7582,42,0
7611,34,0
7649,47,0
7663,51,0
7691,69,0
7704,79,0
7726,55,0
7890,56,0
7989,77,0
8041,64,0
8048,58,0
8110,29,0
8127,60,0
8154,39,0
8216,63,0
8222,49,0
8238,63,0
8271,64,0
8298,55,0
8317,73,0
8378,43,0
8385,29,0
8386,34,0
8398,48,0
8419,34,0
8420,53,0
8441,26,0
8528,48,0
8544,28,0
8573,33,0
8597,39,0
8617,32,0
8618,21,0
8623,45,0
8640,76,0
8688,61,0
8706,24,0
8735,47,0
8748,70,0
8830,25,0
8876,77,0
8889,33,0
8894,34,0
8936,55,0
8963,47,0
8968,46,0
8978,70,0
9022,55,0
9023,27,0
9025,60,0
9039,54,0
9070,33,0
9072,35,0
9078,28,0
9146,46,0
9155,34,0
9158,23,0
9179,24,0
9243,36,0
9321,35,0
9325,51,0
9379,30,0
9431,53,0
9448,27,0
9452,38,0
9482,78,0
9520,40,0
9540,72,0
9570,79,1
9610,69,0
9667,79,0
9758,57,0
9819,24,0
9870,61,0
9944,77,0
9955,42,0
9986,44,0
